route_id,service_id,trip_id,direction_id,shape_id
RT01,FULLBNB,BinniBusRT01.0.001,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.002,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.003,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.004,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.005,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.006,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.007,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.008,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.009,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.010,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.011,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.012,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.013,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.014,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.015,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.016,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.017,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.018,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.019,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.020,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.021,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.022,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.023,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.024,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.025,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.026,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.027,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.028,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.029,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.030,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.031,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.032,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.033,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.034,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.035,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.036,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.037,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.038,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.039,0,BinniBusRT01
RT01,FULLBNB,BinniBusRT01.0.040,0,BinniBusRT01
